peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,Mode,BaseSeed,MetaSeed,N,N_accepted,TP,F1,Coverage,MAE_ms
0.4,3,30,accepted,S,100,Stack,Zonly,42,44,330,249,83,0.2867012089810017,0.7545454545454545,936.7871485943775
0.4,3,30,strict,P,100,Stack,Full3C,43,42,330,320,274,0.8430769230769231,0.9696969696969697,125.56249999999993
0.4,3,30,strict,P,100,Stack,Full3C,43,43,330,319,269,0.8289676425269645,0.9666666666666667,126.86520376175535
0.4,3,30,strict,P,100,Stack,Full3C,43,44,330,319,269,0.8289676425269645,0.9666666666666667,129.1849529780563
0.4,3,30,strict,P,100,Stack,Zonly,43,42,330,321,266,0.8172043010752689,0.9727272727272728,127.632398753894
0.4,3,30,strict,P,100,Stack,Zonly,43,43,330,320,262,0.8061538461538461,0.9696969696969697,130.03124999999986
0.4,3,30,strict,P,100,Stack,Zonly,43,44,330,319,265,0.8166409861325116,0.9666666666666667,128.33855799373032
0.4,3,30,strict,P,100,Stack,Full3C,44,42,330,319,266,0.8197226502311248,0.9666666666666667,102.9153605015673
0.4,3,30,strict,P,100,Stack,Full3C,44,43,330,321,269,0.82642089093702,0.9727272727272728,101.27725856697809
0.4,3,30,strict,P,100,Stack,Full3C,44,44,330,323,268,0.8208269525267994,0.9787878787878788,102.91021671826617
0.4,3,30,strict,P,100,Stack,Zonly,44,42,330,317,266,0.8222565687789799,0.9606060606060606,102.0820189274447
0.4,3,30,strict,P,100,Stack,Zonly,44,43,330,322,269,0.8251533742331288,0.9757575757575757,128.16770186335393
0.4,3,30,strict,P,100,Stack,Zonly,44,44,330,319,267,0.8228043143297381,0.9666666666666667,152.00626959247634
0.4,3,30,strict,P,100,PhaseNetMatched,Full3C,42,,330,330,324,0.9818181818181818,1.0,41.09090909090887
0.4,3,30,strict,P,100,PhaseNetMatched,Full3C,43,,330,330,325,0.9848484848484849,1.0,28.33333333333328
0.4,3,30,strict,P,100,PhaseNetMatched,Full3C,44,,330,328,323,0.9817629179331308,0.9939393939393939,33.99390243902419
0.4,3,30,strict,P,100,PhaseNetMatched,Zonly,42,,330,329,326,0.9893778452200304,0.996969696969697,18.510638297872223
0.4,3,30,strict,P,100,PhaseNetMatched,Zonly,43,,330,326,321,0.9786585365853658,0.9878787878787879,26.411042944785013
0.4,3,30,strict,P,100,PhaseNetMatched,Zonly,44,,330,328,323,0.9817629179331308,0.9939393939393939,22.804878048780363
0.4,3,30,strict,P,100,Stack,Full3C,42,42,330,322,275,0.843558282208589,0.9757575757575757,123.88198757763962
0.4,3,30,strict,P,100,Stack,Full3C,42,43,330,321,271,0.8325652841781874,0.9727272727272728,125.54517133956377
0.4,3,30,strict,P,100,Stack,Full3C,42,44,330,323,271,0.8300153139356815,0.9787878787878788,129.31888544891626
0.4,3,30,strict,P,100,Stack,Zonly,42,42,330,321,262,0.804915514592934,0.9727272727272728,130.37383177570084
0.4,3,30,strict,P,100,Stack,Zonly,42,43,330,321,263,0.8079877112135176,0.9727272727272728,132.33644859813072
0.4,3,30,strict,P,100,Stack,Zonly,42,44,330,320,260,0.8,0.9696969696969697,134.2499999999999
0.4,3,30,strict,S,100,Stack,Full3C,43,42,330,294,178,0.5705128205128205,0.8909090909090909,447.6870748299319
0.4,3,30,strict,S,100,Stack,Full3C,43,43,330,289,175,0.5654281098546042,0.8757575757575757,468.78892733564015
0.4,3,30,strict,S,100,Stack,Full3C,43,44,330,291,176,0.5668276972624798,0.8818181818181818,415.7731958762886
0.4,3,30,strict,S,100,Stack,Zonly,43,42,330,186,66,0.2558139534883721,0.5636363636363636,991.6129032258065
0.4,3,30,strict,S,100,Stack,Zonly,43,43,330,203,63,0.23639774859287055,0.6151515151515151,1105.270935960591
0.4,3,30,strict,S,100,Stack,Zonly,43,44,330,182,64,0.25,0.5515151515151515,988.7362637362637
0.4,3,30,strict,S,100,Stack,Full3C,44,42,330,310,175,0.546875,0.9393939393939394,458.0967741935484
0.4,3,30,strict,S,100,Stack,Full3C,44,43,330,297,179,0.5709728867623605,0.9,423.1986531986531
0.4,3,30,strict,S,100,Stack,Full3C,44,44,330,305,174,0.5480314960629922,0.9242424242424242,453.24590163934425
0.4,3,30,strict,S,100,Stack,Zonly,44,42,330,191,71,0.272552783109405,0.5787878787878787,647.3821989528795
0.4,3,30,strict,S,100,Stack,Zonly,44,43,330,182,68,0.265625,0.5515151515151515,570.8241758241758
0.4,3,30,strict,S,100,Stack,Zonly,44,44,330,212,73,0.2693726937269373,0.6424242424242425,577.0754716981132
0.4,3,30,strict,S,100,PhaseNetMatched,Full3C,42,,330,326,191,0.5823170731707317,0.9878787878787879,174.96932515337423
0.4,3,30,strict,S,100,PhaseNetMatched,Full3C,43,,330,320,199,0.6123076923076923,0.9696969696969697,162.99999999999997
0.4,3,30,strict,S,100,PhaseNetMatched,Full3C,44,,330,326,183,0.5579268292682927,0.9878787878787879,163.9263803680981
0.4,3,30,strict,S,100,PhaseNetMatched,Zonly,42,,330,313,95,0.2954898911353033,0.9484848484848485,453.38658146964855
0.4,3,30,strict,S,100,PhaseNetMatched,Zonly,43,,330,316,103,0.3188854489164087,0.9575757575757575,378.44936708860763
0.4,3,30,strict,S,100,PhaseNetMatched,Zonly,44,,330,305,92,0.28976377952755905,0.9242424242424242,346.6557377049181
0.4,3,30,strict,S,100,Stack,Full3C,42,42,330,306,178,0.559748427672956,0.9272727272727272,430.718954248366
0.4,3,30,strict,S,100,Stack,Full3C,42,43,330,303,170,0.5371248025276462,0.9181818181818182,531.3201320132014
0.4,3,30,strict,S,100,Stack,Full3C,42,44,330,309,177,0.5539906103286385,0.9363636363636364,447.02265372168284
0.4,3,30,strict,S,100,Stack,Zonly,42,42,330,175,63,0.2495049504950495,0.5303030303030303,583.1999999999999
0.4,3,30,strict,S,100,Stack,Zonly,42,43,330,159,62,0.25357873210633947,0.4818181818181818,683.7106918238993
0.4,3,30,strict,S,100,Stack,Zonly,42,44,330,114,53,0.23873873873873874,0.34545454545454546,460.08771929824553
0.4,3,40,accepted,P,100,Stack,Full3C,43,42,330,324,275,0.8409785932721713,0.9818181818181818,128.0864197530863
0.4,3,40,accepted,P,100,Stack,Full3C,43,43,330,325,272,0.8305343511450382,0.9848484848484849,127.16923076923064
0.4,3,40,accepted,P,100,Stack,Full3C,43,44,330,326,272,0.8292682926829268,0.9878787878787879,130.18404907975446
0.4,3,40,accepted,P,100,Stack,Zonly,43,42,330,329,268,0.8133535660091047,0.996969696969697,329.14893617021266
0.4,3,40,accepted,P,100,Stack,Zonly,43,43,330,323,265,0.8116385911179173,0.9787878787878788,129.1021671826624
0.4,3,40,accepted,P,100,Stack,Zonly,43,44,330,325,267,0.815267175572519,0.9848484848484849,129.63076923076915
0.4,3,40,accepted,P,100,Stack,Full3C,44,42,330,325,269,0.8213740458015267,0.9848484848484849,104.09230769230759
0.4,3,40,accepted,P,100,Stack,Full3C,44,43,330,322,270,0.8282208588957055,0.9757575757575757,101.27329192546573
0.4,3,40,accepted,P,100,Stack,Full3C,44,44,330,328,268,0.8145896656534954,0.9939393939393939,166.95121951219505
0.4,3,40,accepted,P,100,Stack,Zonly,44,42,330,324,267,0.8165137614678899,0.9818181818181818,127.93209876543196
0.4,3,40,accepted,P,100,Stack,Zonly,44,43,330,327,271,0.8249619482496194,0.990909090909091,189.81651376146775
0.4,3,40,accepted,P,100,Stack,Zonly,44,44,330,326,269,0.8201219512195121,0.9878787878787879,159.90797546012257
0.4,3,40,accepted,P,100,PhaseNetMatched,Full3C,42,,330,330,324,0.9818181818181818,1.0,41.09090909090887
0.4,3,40,accepted,P,100,PhaseNetMatched,Full3C,43,,330,330,325,0.9848484848484849,1.0,28.33333333333328
0.4,3,40,accepted,P,100,PhaseNetMatched,Full3C,44,,330,329,324,0.9833080424886191,0.996969696969697,33.98176291793293
0.4,3,40,accepted,P,100,PhaseNetMatched,Zonly,42,,330,330,326,0.9878787878787879,1.0,21.48484848484837
0.4,3,40,accepted,P,100,PhaseNetMatched,Zonly,43,,330,329,324,0.9833080424886191,0.996969696969697,26.504559270516463
0.4,3,40,accepted,P,100,PhaseNetMatched,Zonly,44,,330,329,323,0.9802731411229135,0.996969696969697,25.805471124619938
0.4,3,40,accepted,P,100,Stack,Full3C,42,42,330,325,276,0.8427480916030534,0.9848484848484849,126.15384615384602
0.4,3,40,accepted,P,100,Stack,Full3C,42,43,330,323,271,0.8300153139356815,0.9787878787878788,127.02786377708969
0.4,3,40,accepted,P,100,Stack,Full3C,42,44,330,329,271,0.8224582701062215,0.996969696969697,291.88449848024305
0.4,3,40,accepted,P,100,Stack,Zonly,42,42,330,328,264,0.8024316109422492,0.9939393939393939,169.54268292682917
0.4,3,40,accepted,P,100,Stack,Zonly,42,43,330,323,264,0.8085758039816233,0.9787878787878788,132.01238390092865
0.4,3,40,accepted,P,100,Stack,Zonly,42,44,330,324,264,0.8073394495412844,0.9818181818181818,133.36419753086412
0.4,3,40,accepted,S,100,Stack,Full3C,43,42,330,315,183,0.5674418604651162,0.9545454545454546,475.77777777777777
0.4,3,40,accepted,S,100,Stack,Full3C,43,43,330,319,185,0.5701078582434514,0.9666666666666667,663.385579937304
0.4,3,40,accepted,S,100,Stack,Full3C,43,44,330,322,185,0.5674846625766872,0.9757575757575757,624.0993788819876
0.4,3,40,accepted,S,100,Stack,Zonly,43,42,330,297,79,0.25199362041467305,0.9,1332.3232323232323
0.4,3,40,accepted,S,100,Stack,Zonly,43,43,330,279,76,0.24958949096880131,0.8454545454545455,1233.978494623656
0.4,3,40,accepted,S,100,Stack,Zonly,43,44,330,267,75,0.25125628140703515,0.8090909090909091,1234.0449438202247
0.4,3,40,accepted,S,100,Stack,Full3C,44,42,330,323,178,0.5451761102603369,0.9787878787878788,526.1609907120743
0.4,3,40,accepted,S,100,Stack,Full3C,44,43,330,315,181,0.5612403100775194,0.9545454545454546,529.2698412698413
0.4,3,40,accepted,S,100,Stack,Full3C,44,44,330,325,175,0.5343511450381679,0.9848484848484849,637.876923076923
0.4,3,40,accepted,S,100,Stack,Zonly,44,42,330,291,90,0.2898550724637681,0.8818181818181818,920.9621993127148
0.4,3,40,accepted,S,100,Stack,Zonly,44,43,330,291,83,0.2673107890499195,0.8818181818181818,974.9828178694158
0.4,3,40,accepted,S,100,Stack,Zonly,44,44,330,296,82,0.26198083067092653,0.896969696969697,991.6216216216217
0.4,3,40,accepted,S,100,PhaseNetMatched,Full3C,42,,330,329,191,0.5796661608497724,0.996969696969697,177.62917933130697
0.4,3,40,accepted,S,100,PhaseNetMatched,Full3C,43,,330,325,203,0.6198473282442748,0.9848484848484849,163.99999999999997
0.4,3,40,accepted,S,100,PhaseNetMatched,Full3C,44,,330,328,184,0.5592705167173252,0.9939393939393939,165.85365853658533
0.4,3,40,accepted,S,100,PhaseNetMatched,Zonly,42,,330,330,97,0.29393939393939394,1.0,602.4242424242424
0.4,3,40,accepted,S,100,PhaseNetMatched,Zonly,43,,330,325,104,0.31755725190839695,0.9848484848484849,421.78461538461545
0.4,3,40,accepted,S,100,PhaseNetMatched,Zonly,44,,330,329,94,0.2852807283763278,0.996969696969697,451.2158054711247
0.4,3,40,accepted,S,100,Stack,Full3C,42,42,330,319,180,0.5546995377503852,0.9666666666666667,494.1692789968652
0.4,3,40,accepted,S,100,Stack,Full3C,42,43,330,315,172,0.5333333333333333,0.9545454545454546,623.4603174603175
0.4,3,40,accepted,S,100,Stack,Full3C,42,44,330,320,178,0.5476923076923077,0.9696969696969697,509.75
0.4,3,40,accepted,S,100,Stack,Zonly,42,42,330,298,88,0.2802547770700637,0.9030303030303031,1160.1677852348994
0.4,3,40,accepted,S,100,Stack,Zonly,42,43,330,276,84,0.27722772277227725,0.8363636363636363,1123.2971014492753
0.4,3,40,accepted,S,100,Stack,Zonly,42,44,330,249,83,0.2867012089810017,0.7545454545454545,936.7871485943775
0.4,3,40,strict,P,100,Stack,Full3C,43,42,330,320,274,0.8430769230769231,0.9696969696969697,125.56249999999993
0.4,3,40,strict,P,100,Stack,Full3C,43,43,330,319,269,0.8289676425269645,0.9666666666666667,126.86520376175535
0.4,3,40,strict,P,100,Stack,Full3C,43,44,330,319,269,0.8289676425269645,0.9666666666666667,129.1849529780563
0.4,3,40,strict,P,100,Stack,Zonly,43,42,330,321,266,0.8172043010752689,0.9727272727272728,127.632398753894
0.4,3,40,strict,P,100,Stack,Zonly,43,43,330,320,262,0.8061538461538461,0.9696969696969697,130.03124999999986
0.4,3,40,strict,P,100,Stack,Zonly,43,44,330,319,265,0.8166409861325116,0.9666666666666667,128.33855799373032
0.4,3,40,strict,P,100,Stack,Full3C,44,42,330,319,266,0.8197226502311248,0.9666666666666667,102.9153605015673
0.4,3,40,strict,P,100,Stack,Full3C,44,43,330,321,269,0.82642089093702,0.9727272727272728,101.27725856697809
0.4,3,40,strict,P,100,Stack,Full3C,44,44,330,323,268,0.8208269525267994,0.9787878787878788,102.91021671826617
0.4,3,40,strict,P,100,Stack,Zonly,44,42,330,317,266,0.8222565687789799,0.9606060606060606,102.0820189274447
0.4,3,40,strict,P,100,Stack,Zonly,44,43,330,322,269,0.8251533742331288,0.9757575757575757,128.16770186335393
0.4,3,40,strict,P,100,Stack,Zonly,44,44,330,319,267,0.8228043143297381,0.9666666666666667,152.00626959247634
0.4,3,40,strict,P,100,PhaseNetMatched,Full3C,42,,330,330,324,0.9818181818181818,1.0,41.09090909090887
0.4,3,40,strict,P,100,PhaseNetMatched,Full3C,43,,330,330,325,0.9848484848484849,1.0,28.33333333333328
0.4,3,40,strict,P,100,PhaseNetMatched,Full3C,44,,330,328,323,0.9817629179331308,0.9939393939393939,33.99390243902419
0.4,3,40,strict,P,100,PhaseNetMatched,Zonly,42,,330,329,326,0.9893778452200304,0.996969696969697,18.510638297872223
0.4,3,40,strict,P,100,PhaseNetMatched,Zonly,43,,330,326,321,0.9786585365853658,0.9878787878787879,26.411042944785013
0.4,3,40,strict,P,100,PhaseNetMatched,Zonly,44,,330,328,323,0.9817629179331308,0.9939393939393939,22.804878048780363
0.4,3,40,strict,P,100,Stack,Full3C,42,42,330,322,275,0.843558282208589,0.9757575757575757,123.88198757763962
0.4,3,40,strict,P,100,Stack,Full3C,42,43,330,321,271,0.8325652841781874,0.9727272727272728,125.54517133956377
0.4,3,40,strict,P,100,Stack,Full3C,42,44,330,323,271,0.8300153139356815,0.9787878787878788,129.31888544891626
0.4,3,40,strict,P,100,Stack,Zonly,42,42,330,321,262,0.804915514592934,0.9727272727272728,130.37383177570084
0.4,3,40,strict,P,100,Stack,Zonly,42,43,330,321,263,0.8079877112135176,0.9727272727272728,132.33644859813072
0.4,3,40,strict,P,100,Stack,Zonly,42,44,330,320,260,0.8,0.9696969696969697,134.2499999999999
0.4,3,40,strict,S,100,Stack,Full3C,43,42,330,294,178,0.5705128205128205,0.8909090909090909,447.6870748299319
0.4,3,40,strict,S,100,Stack,Full3C,43,43,330,289,175,0.5654281098546042,0.8757575757575757,468.78892733564015
0.4,3,40,strict,S,100,Stack,Full3C,43,44,330,291,176,0.5668276972624798,0.8818181818181818,415.7731958762886
0.4,3,40,strict,S,100,Stack,Zonly,43,42,330,186,66,0.2558139534883721,0.5636363636363636,991.6129032258065
0.4,3,40,strict,S,100,Stack,Zonly,43,43,330,203,63,0.23639774859287055,0.6151515151515151,1105.270935960591
0.4,3,40,strict,S,100,Stack,Zonly,43,44,330,182,64,0.25,0.5515151515151515,988.7362637362637
0.4,3,40,strict,S,100,Stack,Full3C,44,42,330,310,175,0.546875,0.9393939393939394,458.0967741935484
0.4,3,40,strict,S,100,Stack,Full3C,44,43,330,297,179,0.5709728867623605,0.9,423.1986531986531
0.4,3,40,strict,S,100,Stack,Full3C,44,44,330,305,174,0.5480314960629922,0.9242424242424242,453.24590163934425
0.4,3,40,strict,S,100,Stack,Zonly,44,42,330,191,71,0.272552783109405,0.5787878787878787,647.3821989528795
0.4,3,40,strict,S,100,Stack,Zonly,44,43,330,182,68,0.265625,0.5515151515151515,570.8241758241758
0.4,3,40,strict,S,100,Stack,Zonly,44,44,330,212,73,0.2693726937269373,0.6424242424242425,577.0754716981132
0.4,3,40,strict,S,100,PhaseNetMatched,Full3C,42,,330,326,191,0.5823170731707317,0.9878787878787879,174.96932515337423
0.4,3,40,strict,S,100,PhaseNetMatched,Full3C,43,,330,320,199,0.6123076923076923,0.9696969696969697,162.99999999999997
0.4,3,40,strict,S,100,PhaseNetMatched,Full3C,44,,330,326,183,0.5579268292682927,0.9878787878787879,163.9263803680981
0.4,3,40,strict,S,100,PhaseNetMatched,Zonly,42,,330,313,95,0.2954898911353033,0.9484848484848485,453.38658146964855
0.4,3,40,strict,S,100,PhaseNetMatched,Zonly,43,,330,316,103,0.3188854489164087,0.9575757575757575,378.44936708860763
0.4,3,40,strict,S,100,PhaseNetMatched,Zonly,44,,330,305,92,0.28976377952755905,0.9242424242424242,346.6557377049181
0.4,3,40,strict,S,100,Stack,Full3C,42,42,330,306,178,0.559748427672956,0.9272727272727272,430.718954248366
0.4,3,40,strict,S,100,Stack,Full3C,42,43,330,303,170,0.5371248025276462,0.9181818181818182,531.3201320132014
0.4,3,40,strict,S,100,Stack,Full3C,42,44,330,309,177,0.5539906103286385,0.9363636363636364,447.02265372168284
0.4,3,40,strict,S,100,Stack,Zonly,42,42,330,175,63,0.2495049504950495,0.5303030303030303,583.1999999999999
0.4,3,40,strict,S,100,Stack,Zonly,42,43,330,159,62,0.25357873210633947,0.4818181818181818,683.7106918238993
0.4,3,40,strict,S,100,Stack,Zonly,42,44,330,114,53,0.23873873873873874,0.34545454545454546,460.08771929824553
0.4,4,20,accepted,P,100,Stack,Full3C,43,42,330,324,275,0.8409785932721713,0.9818181818181818,128.0864197530863
0.4,4,20,accepted,P,100,Stack,Full3C,43,43,330,325,272,0.8305343511450382,0.9848484848484849,127.16923076923064
0.4,4,20,accepted,P,100,Stack,Full3C,43,44,330,326,272,0.8292682926829268,0.9878787878787879,130.18404907975446
0.4,4,20,accepted,P,100,Stack,Zonly,43,42,330,329,268,0.8133535660091047,0.996969696969697,329.14893617021266
0.4,4,20,accepted,P,100,Stack,Zonly,43,43,330,323,265,0.8116385911179173,0.9787878787878788,129.1021671826624
0.4,4,20,accepted,P,100,Stack,Zonly,43,44,330,325,267,0.815267175572519,0.9848484848484849,129.63076923076915
0.4,4,20,accepted,P,100,Stack,Full3C,44,42,330,325,269,0.8213740458015267,0.9848484848484849,104.09230769230759
0.4,4,20,accepted,P,100,Stack,Full3C,44,43,330,322,270,0.8282208588957055,0.9757575757575757,101.27329192546573
0.4,4,20,accepted,P,100,Stack,Full3C,44,44,330,328,268,0.8145896656534954,0.9939393939393939,166.95121951219505
0.4,4,20,accepted,P,100,Stack,Zonly,44,42,330,324,267,0.8165137614678899,0.9818181818181818,127.93209876543196
0.4,4,20,accepted,P,100,Stack,Zonly,44,43,330,327,271,0.8249619482496194,0.990909090909091,189.81651376146775
